source,target,relation,file
main,heads,has_step,examples/conditional-parameters.yaml
main,tails,has_step,examples/conditional-parameters.yaml
flip-coin,heads,step_sequence,examples/conditional-parameters.yaml
flip-coin,tails,step_sequence,examples/conditional-parameters.yaml
coinflip,flip-coin,has_step,examples/conditionals-complex.yaml
coinflip,heads,has_step,examples/conditionals-complex.yaml
coinflip,tails,has_step,examples/conditionals-complex.yaml
flip-coin,heads,step_sequence,examples/conditionals-complex.yaml
flip-coin,tails,step_sequence,examples/conditionals-complex.yaml
coinflip,flip-again,has_step,examples/conditionals-complex.yaml
heads,flip-again,step_sequence,examples/conditionals-complex.yaml
tails,flip-again,step_sequence,examples/conditionals-complex.yaml
coinflip,complex-condition,has_step,examples/conditionals-complex.yaml
coinflip,heads-regex,has_step,examples/conditionals-complex.yaml
coinflip,tails-regex,has_step,examples/conditionals-complex.yaml
flip-again,complex-condition,step_sequence,examples/conditionals-complex.yaml
flip-again,heads-regex,step_sequence,examples/conditionals-complex.yaml
flip-again,tails-regex,step_sequence,examples/conditionals-complex.yaml
conditional-example,print-hello-govaluate,has_step,examples/conditionals.yaml
conditional-example,print-hello-expr,has_step,examples/conditionals.yaml
conditional-example,print-hello-expr-json,has_step,examples/conditionals.yaml
main,a,has_task,examples/container-set-template/outputs-result-workflow.yaml
a,b,dag_dependency,examples/container-set-template/outputs-result-workflow.yaml
main,b,has_task,examples/container-set-template/outputs-result-workflow.yaml
workflow-ignore,A,has_step,examples/continue-on-fail.yaml
workflow-ignore,B,has_step,examples/continue-on-fail.yaml
workflow-ignore,C,has_step,examples/continue-on-fail.yaml
A,B,step_sequence,examples/continue-on-fail.yaml
A,C,step_sequence,examples/continue-on-fail.yaml
workflow-ignore,D,has_step,examples/continue-on-fail.yaml
B,D,step_sequence,examples/continue-on-fail.yaml
C,D,step_sequence,examples/continue-on-fail.yaml
main,day,has_step,examples/cron-backfill.yaml
main,create-job,has_step,examples/cron-backfill.yaml
steps,random-int,has_step,examples/custom-metrics.yaml
steps,flakey,has_step,examples/custom-metrics.yaml
random-int,flakey,step_sequence,examples/custom-metrics.yaml
daemon-nginx-example,nginx-server,has_step,examples/daemon-nginx.yaml
daemon-nginx-example,nginx-client,has_step,examples/daemon-nginx.yaml
nginx-server,nginx-client,step_sequence,examples/daemon-nginx.yaml
daemon-example,influx,has_step,examples/daemon-step.yaml
daemon-example,init-database,has_step,examples/daemon-step.yaml
influx,init-database,step_sequence,examples/daemon-step.yaml
daemon-example,producer-1,has_step,examples/daemon-step.yaml
daemon-example,producer-2,has_step,examples/daemon-step.yaml
daemon-example,producer-3,has_step,examples/daemon-step.yaml
init-database,producer-1,step_sequence,examples/daemon-step.yaml
init-database,producer-2,step_sequence,examples/daemon-step.yaml
init-database,producer-3,step_sequence,examples/daemon-step.yaml
daemon-example,consumer,has_step,examples/daemon-step.yaml
producer-1,consumer,step_sequence,examples/daemon-step.yaml
producer-2,consumer,step_sequence,examples/daemon-step.yaml
producer-3,consumer,step_sequence,examples/daemon-step.yaml
create-wait-and-test,create-service,has_step,examples/daemoned-stateful-set-with-service.yaml
create-wait-and-test,create-stateful-set,has_step,examples/daemoned-stateful-set-with-service.yaml
create-wait-and-test,wait-stateful-set,has_step,examples/daemoned-stateful-set-with-service.yaml
create-service,wait-stateful-set,step_sequence,examples/daemoned-stateful-set-with-service.yaml
create-stateful-set,wait-stateful-set,step_sequence,examples/daemoned-stateful-set-with-service.yaml
create-wait-and-test,test,has_step,examples/daemoned-stateful-set-with-service.yaml
wait-stateful-set,test,step_sequence,examples/daemoned-stateful-set-with-service.yaml
delete,delete-service,has_step,examples/daemoned-stateful-set-with-service.yaml
delete,delete-stateful-set,has_step,examples/daemoned-stateful-set-with-service.yaml
diamond,A,has_task,examples/dag-coinflip.yaml
diamond,B,has_task,examples/dag-coinflip.yaml
diamond,C,has_task,examples/dag-coinflip.yaml
diamond,D,has_task,examples/dag-coinflip.yaml
coinflip,flip-coin,has_step,examples/dag-coinflip.yaml
coinflip,heads,has_step,examples/dag-coinflip.yaml
coinflip,tails,has_step,examples/dag-coinflip.yaml
flip-coin,heads,step_sequence,examples/dag-coinflip.yaml
flip-coin,tails,step_sequence,examples/dag-coinflip.yaml
main,flip-coin,has_task,examples/dag-conditional-artifacts.yaml
main,heads,has_task,examples/dag-conditional-artifacts.yaml
main,tails,has_task,examples/dag-conditional-artifacts.yaml
main,flip-coin,has_task,examples/dag-conditional-parameters.yaml
main,heads,has_task,examples/dag-conditional-parameters.yaml
main,tails,has_task,examples/dag-conditional-parameters.yaml
workflow,A,has_task,examples/dag-continue-on-fail.yaml
workflow,B,has_task,examples/dag-continue-on-fail.yaml
workflow,C,has_task,examples/dag-continue-on-fail.yaml
workflow,D,has_task,examples/dag-continue-on-fail.yaml
workflow,E,has_task,examples/dag-continue-on-fail.yaml
workflow,F,has_task,examples/dag-continue-on-fail.yaml
workflow,G,has_task,examples/dag-continue-on-fail.yaml
dag-task,TEST-ONE,has_task,examples/dag-custom-metrics.yaml
dag-task,TEST-TWO,has_task,examples/dag-custom-metrics.yaml
main,server,has_task,examples/dag-daemon-retry-strategy.yaml
main,client,has_task,examples/dag-daemon-retry-strategy.yaml
daemon-example,influx,has_task,examples/dag-daemon-task.yaml
daemon-example,init-database,has_task,examples/dag-daemon-task.yaml
daemon-example,producer-1,has_task,examples/dag-daemon-task.yaml
daemon-example,producer-2,has_task,examples/dag-daemon-task.yaml
daemon-example,producer-3,has_task,examples/dag-daemon-task.yaml
daemon-example,consumer,has_task,examples/dag-daemon-task.yaml
echo-thrice,echo,has_step,examples/dag-diamond-steps.yaml
diamond,A,has_task,examples/dag-diamond-steps.yaml
diamond,B,has_task,examples/dag-diamond-steps.yaml
diamond,C,has_task,examples/dag-diamond-steps.yaml
diamond,D,has_task,examples/dag-diamond-steps.yaml
diamond,A,has_task,examples/dag-diamond.yaml
diamond,B,has_task,examples/dag-diamond.yaml
diamond,C,has_task,examples/dag-diamond.yaml
diamond,D,has_task,examples/dag-diamond.yaml
statis,A,has_task,examples/dag-disable-failFast.yaml
statis,B,has_task,examples/dag-disable-failFast.yaml
statis,C,has_task,examples/dag-disable-failFast.yaml
statis,D,has_task,examples/dag-disable-failFast.yaml
statis,E,has_task,examples/dag-disable-failFast.yaml
diamond,A,has_task,examples/dag-enhanced-depends.yaml
diamond,B,has_task,examples/dag-enhanced-depends.yaml
diamond,C,has_task,examples/dag-enhanced-depends.yaml
diamond,should-execute-1,has_task,examples/dag-enhanced-depends.yaml
diamond,should-execute-2,has_task,examples/dag-enhanced-depends.yaml
diamond,should-not-execute,has_task,examples/dag-enhanced-depends.yaml
diamond,should-execute-3,has_task,examples/dag-enhanced-depends.yaml
main,a,has_task,examples/dag-inline-clusterworkflowtemplate.yaml
main,a,has_task,examples/dag-inline-workflow.yaml
main,a,has_task,examples/dag-inline-workflowtemplate.yaml
multiroot,A,has_task,examples/dag-multiroot.yaml
multiroot,B,has_task,examples/dag-multiroot.yaml
multiroot,C,has_task,examples/dag-multiroot.yaml
multiroot,D,has_task,examples/dag-multiroot.yaml
diamond,A,has_task,examples/dag-nested.yaml
diamond,B,has_task,examples/dag-nested.yaml
diamond,C,has_task,examples/dag-nested.yaml
diamond,D,has_task,examples/dag-nested.yaml
nested-diamond,A,has_task,examples/dag-nested.yaml
nested-diamond,B,has_task,examples/dag-nested.yaml
nested-diamond,C,has_task,examples/dag-nested.yaml
nested-diamond,D,has_task,examples/dag-nested.yaml
dag-target,A,has_task,examples/dag-targets.yaml
dag-target,B,has_task,examples/dag-targets.yaml
dag-target,C,has_task,examples/dag-targets.yaml
dag-target,D,has_task,examples/dag-targets.yaml
dag-target,E,has_task,examples/dag-targets.yaml
diamond,A,has_task,examples/dag-task-level-timeout.yaml
diamond,B,has_task,examples/dag-task-level-timeout.yaml
diamond,C,has_task,examples/dag-task-level-timeout.yaml
data-transformations,list-log-files,has_step,examples/data-transformations.yaml
data-transformations,process-logs,has_step,examples/data-transformations.yaml
list-log-files,process-logs,step_sequence,examples/data-transformations.yaml
exit-code-output-variable,failing-container,has_step,examples/exit-code-output-variable.yaml
exit-code-output-variable,echo-container,has_step,examples/exit-code-output-variable.yaml
failing-container,echo-container,step_sequence,examples/exit-code-output-variable.yaml
main,A,has_task,examples/exit-handler-dag-level.yaml
main,B,has_task,examples/exit-handler-dag-level.yaml
main,C,has_task,examples/exit-handler-dag-level.yaml
main,D,has_task,examples/exit-handler-dag-level.yaml
main,hello1,has_step,examples/exit-handler-step-level.yaml
main,hello2a,has_step,examples/exit-handler-step-level.yaml
main,hello2b,has_step,examples/exit-handler-step-level.yaml
hello1,hello2a,step_sequence,examples/exit-handler-step-level.yaml
hello1,hello2b,step_sequence,examples/exit-handler-step-level.yaml
main,step-1,has_step,examples/exit-handler-with-artifacts.yaml
main,step-1,has_step,examples/exit-handler-with-param.yaml
exit-handler,notify,has_step,examples/exit-handlers.yaml
exit-handler,celebrate,has_step,examples/exit-handlers.yaml
exit-handler,cry,has_step,examples/exit-handlers.yaml
main,task-0,has_task,examples/expression-tag-template-workflow.yaml
main,fibonaccimain,has_step,examples/fibonacci-seq-conditional-param.yaml
main,printresult,has_step,examples/fibonacci-seq-conditional-param.yaml
fibonaccimain,printresult,step_sequence,examples/fibonacci-seq-conditional-param.yaml
fibonacci,fibonacci-helper,has_step,examples/fibonacci-seq-conditional-param.yaml
fibonaccihelper,sub-1,has_step,examples/fibonacci-seq-conditional-param.yaml
fibonaccihelper,sub-2,has_step,examples/fibonacci-seq-conditional-param.yaml
sub-1,sub-2,step_sequence,examples/fibonacci-seq-conditional-param.yaml
fibonaccihelper,fib-sub-1,has_step,examples/fibonacci-seq-conditional-param.yaml
sub-2,fib-sub-1,step_sequence,examples/fibonacci-seq-conditional-param.yaml
fibonaccihelper,fib-sub-2,has_step,examples/fibonacci-seq-conditional-param.yaml
fib-sub-1,fib-sub-2,step_sequence,examples/fibonacci-seq-conditional-param.yaml
fibonaccihelper,add,has_step,examples/fibonacci-seq-conditional-param.yaml
fib-sub-2,add,step_sequence,examples/fibonacci-seq-conditional-param.yaml
run-workflow,step-1,has_step,examples/fun-with-gifs.yaml
run-workflow,step-2,has_step,examples/fun-with-gifs.yaml
step-1,step-2,step_sequence,examples/fun-with-gifs.yaml
run-workflow,step-3,has_step,examples/fun-with-gifs.yaml
step-2,step-3,step_sequence,examples/fun-with-gifs.yaml
run-workflow,step-4,has_step,examples/fun-with-gifs.yaml
step-3,step-4,step_sequence,examples/fun-with-gifs.yaml
run-workflow,step-5,has_step,examples/fun-with-gifs.yaml
step-4,step-5,step_sequence,examples/fun-with-gifs.yaml
run-workflow,step-6,has_step,examples/fun-with-gifs.yaml
step-5,step-6,step_sequence,examples/fun-with-gifs.yaml
run-workflow,step-7,has_step,examples/fun-with-gifs.yaml
step-6,step-7,step_sequence,examples/fun-with-gifs.yaml
run-workflow,step-8,has_step,examples/fun-with-gifs.yaml
step-7,step-8,step_sequence,examples/fun-with-gifs.yaml
generate-globals,generate,has_step,examples/global-outputs.yaml
generate-globals,consume-globals,has_step,examples/global-outputs.yaml
generate,consume-globals,step_sequence,examples/global-outputs.yaml
consume-globals,consume-global-param,has_step,examples/global-outputs.yaml
consume-globals,consume-global-art,has_step,examples/global-outputs.yaml
handle-large-output-results,get-items,has_step,examples/handle-large-output-results.yaml
handle-large-output-results,sequence-param,has_step,examples/handle-large-output-results.yaml
get-items,sequence-param,step_sequence,examples/handle-large-output-results.yaml
artifact-example,generate-artifact,has_step,examples/hdfs-artifact.yaml
artifact-example,consume-artifact,has_step,examples/hdfs-artifact.yaml
generate-artifact,consume-artifact,step_sequence,examples/hdfs-artifact.yaml
mytemplate,step1,has_step,examples/hello-hybrid.yaml
mytemplate,step2,has_step,examples/hello-hybrid.yaml
step1,step2,step_sequence,examples/hello-hybrid.yaml
main,good,has_step,examples/http-hello-world.yaml
main,bad,has_step,examples/http-hello-world.yaml
main,http-status-is-201-succeeds,has_step,examples/http-success-condition.yaml
main,http-body-contains-google-succeeds,has_step,examples/http-success-condition.yaml
influxdb-ci,checkout,has_step,examples/influxdb-ci.yaml
influxdb-ci,build,has_step,examples/influxdb-ci.yaml
influxdb-ci,test-unit,has_step,examples/influxdb-ci.yaml
checkout,build,step_sequence,examples/influxdb-ci.yaml
checkout,test-unit,step_sequence,examples/influxdb-ci.yaml
influxdb-ci,test-cov,has_step,examples/influxdb-ci.yaml
influxdb-ci,test-e2e,has_step,examples/influxdb-ci.yaml
build,test-cov,step_sequence,examples/influxdb-ci.yaml
build,test-e2e,step_sequence,examples/influxdb-ci.yaml
test-unit,test-cov,step_sequence,examples/influxdb-ci.yaml
test-unit,test-e2e,step_sequence,examples/influxdb-ci.yaml
test-cov,test-cov-query,has_step,examples/influxdb-ci.yaml
test-cov,test-cov-tsm1,has_step,examples/influxdb-ci.yaml
test-e2e,influxdb-server,has_step,examples/influxdb-ci.yaml
test-e2e,initdb,has_step,examples/influxdb-ci.yaml
influxdb-server,initdb,step_sequence,examples/influxdb-ci.yaml
test-e2e,producer1,has_step,examples/influxdb-ci.yaml
test-e2e,producer2,has_step,examples/influxdb-ci.yaml
test-e2e,producer3,has_step,examples/influxdb-ci.yaml
test-e2e,consumer,has_step,examples/influxdb-ci.yaml
initdb,producer1,step_sequence,examples/influxdb-ci.yaml
initdb,producer2,step_sequence,examples/influxdb-ci.yaml
initdb,producer3,step_sequence,examples/influxdb-ci.yaml
initdb,consumer,step_sequence,examples/influxdb-ci.yaml
cicd-pipeline,deploy-pre-prod,has_step,examples/intermediate-parameters.yaml
cicd-pipeline,approval,has_step,examples/intermediate-parameters.yaml
deploy-pre-prod,approval,step_sequence,examples/intermediate-parameters.yaml
cicd-pipeline,deploy-prod,has_step,examples/intermediate-parameters.yaml
approval,deploy-prod,step_sequence,examples/intermediate-parameters.yaml
k8s-orchestrate,random-number-job,has_step,examples/k8s-orchestration.yaml
k8s-orchestrate,print-generated-numbers,has_step,examples/k8s-orchestration.yaml
random-number-job,print-generated-numbers,step_sequence,examples/k8s-orchestration.yaml
k8s-orchestrate,delete-job,has_step,examples/k8s-orchestration.yaml
print-generated-numbers,delete-job,step_sequence,examples/k8s-orchestration.yaml
k8s-wait-wf,create-wf,has_step,examples/k8s-wait-wf.yaml
k8s-wait-wf,wait-wf,has_step,examples/k8s-wait-wf.yaml
create-wf,wait-wf,step_sequence,examples/k8s-wait-wf.yaml
main,generate,has_task,examples/key-only-artifact.yaml
main,consume,has_task,examples/key-only-artifact.yaml
main,step-1,has_step,examples/life-cycle-hooks-tmpl-level.yaml
main,step2,has_step,examples/life-cycle-hooks-tmpl-level.yaml
step-1,step2,step_sequence,examples/life-cycle-hooks-tmpl-level.yaml
main,step1,has_step,examples/life-cycle-hooks-wf-level.yaml
loop-arbitrary-sequential-steps-example,unit-step,has_step,examples/loops-arbitrary-sequential-steps.yaml
loops-dag,A,has_task,examples/loops-dag.yaml
loops-dag,B,has_task,examples/loops-dag.yaml
loops-dag,C,has_task,examples/loops-dag.yaml
loop-map-example,test-linux,has_step,examples/loops-maps.yaml
loop-param-arg-example,test-linux,has_step,examples/loops-param-argument.yaml
loop-param-result-example,generate,has_step,examples/loops-param-result.yaml
loop-param-result-example,sleep,has_step,examples/loops-param-result.yaml
generate,sleep,step_sequence,examples/loops-param-result.yaml
loops-sequence,sequence-count,has_step,examples/loops-sequence.yaml
loops-sequence,sequence-start-end,has_step,examples/loops-sequence.yaml
loops-sequence,sequence-param,has_step,examples/loops-sequence.yaml
loops-sequence,sequence-negative,has_step,examples/loops-sequence.yaml
loops-sequence,sequence-format,has_step,examples/loops-sequence.yaml
loop-example,print-message-loop,has_step,examples/loops.yaml
main,split,has_task,examples/map-reduce.yaml
main,map,has_task,examples/map-reduce.yaml
main,reduce,has_task,examples/map-reduce.yaml
nested-workflow-example,generate,has_step,examples/nested-workflow.yaml
nested-workflow-example,nested-wf,has_step,examples/nested-workflow.yaml
generate,nested-wf,step_sequence,examples/nested-workflow.yaml
nested-workflow-example,consume,has_step,examples/nested-workflow.yaml
nested-wf,consume,step_sequence,examples/nested-workflow.yaml
nested-wf,consume,has_step,examples/nested-workflow.yaml
nested-wf,generate,has_step,examples/nested-workflow.yaml
output-parameter,generate-parameter,has_step,examples/output-parameter.yaml
output-parameter,consume-parameter,has_step,examples/output-parameter.yaml
generate-parameter,consume-parameter,step_sequence,examples/output-parameter.yaml
parallelism-limit,sleep,has_step,examples/parallelism-limit.yaml
A,b1,has_task,examples/parallelism-nested-dag.yaml
A,b2,has_task,examples/parallelism-nested-dag.yaml
A,b3,has_task,examples/parallelism-nested-dag.yaml
A,b4,has_task,examples/parallelism-nested-dag.yaml
A,b5,has_task,examples/parallelism-nested-dag.yaml
B,c1,has_task,examples/parallelism-nested-dag.yaml
B,c2,has_task,examples/parallelism-nested-dag.yaml
B,c3,has_task,examples/parallelism-nested-dag.yaml
A,seq-step,has_step,examples/parallelism-nested-workflow.yaml
B,jobs,has_step,examples/parallelism-nested-workflow.yaml
parallel-worker,parallel-worker,has_step,examples/parallelism-nested.yaml
seq-worker,seq-step,has_step,examples/parallelism-nested.yaml
parallelism-template-limit,sleep,has_step,examples/parallelism-template-limit.yaml
parameter-aggregation,odd-or-even,has_task,examples/parameter-aggregation-dag.yaml
parameter-aggregation,print-nums,has_task,examples/parameter-aggregation-dag.yaml
parameter-aggregation,print-evenness,has_task,examples/parameter-aggregation-dag.yaml
parameter-aggregation,divide-by-2,has_task,examples/parameter-aggregation-dag.yaml
parameter-aggregation,print,has_task,examples/parameter-aggregation-dag.yaml
parameter-aggregation,odd-or-even,has_step,examples/parameter-aggregation-script.yaml
parameter-aggregation,divide-by-2,has_step,examples/parameter-aggregation-script.yaml
odd-or-even,divide-by-2,step_sequence,examples/parameter-aggregation-script.yaml
parameter-aggregation,odd-or-even,has_step,examples/parameter-aggregation.yaml
parameter-aggregation,print-nums,has_step,examples/parameter-aggregation.yaml
odd-or-even,print-nums,step_sequence,examples/parameter-aggregation.yaml
parameter-aggregation,print-evenness,has_step,examples/parameter-aggregation.yaml
print-nums,print-evenness,step_sequence,examples/parameter-aggregation.yaml
parameter-aggregation,divide-by-2,has_step,examples/parameter-aggregation.yaml
print-evenness,divide-by-2,step_sequence,examples/parameter-aggregation.yaml
parameter-aggregation,print,has_step,examples/parameter-aggregation.yaml
divide-by-2,print,step_sequence,examples/parameter-aggregation.yaml
pod-gc-strategy-with-label-selector,fail,has_step,examples/pod-gc-strategy-with-label-selector.yaml
pod-gc-strategy-with-label-selector,succeed-deleted,has_step,examples/pod-gc-strategy-with-label-selector.yaml
pod-gc-strategy-with-label-selector,succeed-not-deleted,has_step,examples/pod-gc-strategy-with-label-selector.yaml
pod-gc-strategy,fail,has_step,examples/pod-gc-strategy.yaml
pod-gc-strategy,succeed,has_step,examples/pod-gc-strategy.yaml
hello-hello-hello,hello1,has_step,examples/pod-metadata-wf-field.yaml
hello-hello-hello,hello1,has_step,examples/pod-metadata.yaml
workflow,parse-resources,has_task,examples/pod-spec-from-previous-step.yaml
workflow,setup-resources,has_task,examples/pod-spec-from-previous-step.yaml
plan,recurse,has_step,examples/recursive-for-loop.yaml
loop,iterate-counter,has_step,examples/recursive-for-loop.yaml
loop,continue,has_step,examples/recursive-for-loop.yaml
iterate-counter,continue,step_sequence,examples/recursive-for-loop.yaml
main,submit-resource,has_step,examples/resource-delete-with-flags.yaml
main,delete-resource,has_step,examples/resource-delete-with-flags.yaml
submit-resource,delete-resource,step_sequence,examples/resource-delete-with-flags.yaml
resource-validate-example,submit-resource,has_step,examples/resource-flags.yaml
resource-validate-example,submit-resource-without-validation,has_step,examples/resource-flags.yaml
submit-resource,submit-resource-without-validation,step_sequence,examples/resource-flags.yaml
rand-fail-dag,A,has_task,examples/resubmit.yaml
rand-fail-dag,B,has_task,examples/resubmit.yaml
rand-fail-dag,C,has_task,examples/resubmit.yaml
rand-fail-dag,D,has_task,examples/resubmit.yaml
rand-fail-steps,randfail1a,has_step,examples/resubmit.yaml
rand-fail-steps,randfail1b,has_step,examples/resubmit.yaml
rand-fail-steps,randfail2a,has_step,examples/resubmit.yaml
rand-fail-steps,randfail2b,has_step,examples/resubmit.yaml
rand-fail-steps,randfail2c,has_step,examples/resubmit.yaml
rand-fail-steps,randfail2d,has_step,examples/resubmit.yaml
randfail1a,randfail2a,step_sequence,examples/resubmit.yaml
randfail1a,randfail2b,step_sequence,examples/resubmit.yaml
randfail1a,randfail2c,step_sequence,examples/resubmit.yaml
randfail1a,randfail2d,step_sequence,examples/resubmit.yaml
randfail1b,randfail2a,step_sequence,examples/resubmit.yaml
randfail1b,randfail2b,step_sequence,examples/resubmit.yaml
randfail1b,randfail2c,step_sequence,examples/resubmit.yaml
randfail1b,randfail2d,step_sequence,examples/resubmit.yaml
main,safe-to-retry,has_step,examples/retry-conditional.yaml
main,retry,has_step,examples/retry-conditional.yaml
safe-to-retry,retry,step_sequence,examples/retry-conditional.yaml
retry-with-steps,hello1,has_step,examples/retry-with-steps.yaml
retry-with-steps,hello2a,has_step,examples/retry-with-steps.yaml
retry-with-steps,hello2b,has_step,examples/retry-with-steps.yaml
hello1,hello2a,step_sequence,examples/retry-with-steps.yaml
hello1,hello2b,step_sequence,examples/retry-with-steps.yaml
bash-script-example,generate,has_step,examples/scripts-bash.yaml
bash-script-example,print,has_step,examples/scripts-bash.yaml
generate,print,step_sequence,examples/scripts-bash.yaml
javascript-script-example,generate,has_step,examples/scripts-javascript.yaml
javascript-script-example,print,has_step,examples/scripts-javascript.yaml
generate,print,step_sequence,examples/scripts-javascript.yaml
python-script-example,generate,has_step,examples/scripts-python.yaml
python-script-example,print,has_step,examples/scripts-python.yaml
generate,print,step_sequence,examples/scripts-python.yaml
status-reference,flakey-container,has_step,examples/status-reference.yaml
status-reference,failed,has_step,examples/status-reference.yaml
status-reference,succeeded,has_step,examples/status-reference.yaml
flakey-container,failed,step_sequence,examples/status-reference.yaml
flakey-container,succeeded,step_sequence,examples/status-reference.yaml
sleep-sleep,sleep1,has_step,examples/step-level-timeout.yaml
sleep-sleep,sleep2,has_step,examples/step-level-timeout.yaml
main,server,has_step,examples/steps-daemon-retry-strategy.yaml
main,client,has_step,examples/steps-daemon-retry-strategy.yaml
server,client,step_sequence,examples/steps-daemon-retry-strategy.yaml
main,a,has_step,examples/steps-inline-workflow.yaml
hello-hello-hello,hello1,has_step,examples/steps.yaml
hello-hello-hello,hello2a,has_step,examples/steps.yaml
hello-hello-hello,hello2b,has_step,examples/steps.yaml
hello1,hello2a,step_sequence,examples/steps.yaml
hello1,hello2b,step_sequence,examples/steps.yaml
suspend,approve,has_step,examples/suspend-template-outputs.yaml
suspend,release,has_step,examples/suspend-template-outputs.yaml
approve,release,step_sequence,examples/suspend-template-outputs.yaml
suspend,build,has_step,examples/suspend-template.yaml
suspend,approve,has_step,examples/suspend-template.yaml
build,approve,step_sequence,examples/suspend-template.yaml
suspend,delay,has_step,examples/suspend-template.yaml
